Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Moving_Avg_50,Volume_MA_20
2024-02-01 00:00:00+05:30,505.83,505.83,488.39,490.04,1925034,0.0,0.0,-2.6,468.26,440.54,4651040.65
2024-02-02 00:00:00+05:30,493.18,500.2,476.28,481.31,2771930,0.0,0.0,-1.78,471.83,442.16,4632727.25
2024-02-05 00:00:00+05:30,486.2,505.29,484.2,491.28,2921559,0.0,0.0,2.07,475.15,444.01,4547875.45
2024-02-06 00:00:00+05:30,493.57,502.15,485.5,490.04,2051836,0.0,0.0,-0.25,478.73,445.47,4468439.8
2024-02-07 00:00:00+05:30,492.28,507.68,490.09,492.33,3369728,0.0,0.0,0.47,482.44,447.08,4557194.7
2024-02-08 00:00:00+05:30,495.27,518.29,495.17,505.19,5703530,0.0,0.0,2.61,485.03,448.79,4091230.7
2024-02-09 00:00:00+05:30,507.33,510.22,482.51,498.56,3188552,0.0,0.0,-1.31,486.79,450.6,3796822.3
2024-02-12 00:00:00+05:30,505.98,519.94,492.88,495.57,6118550,0.0,0.0,-0.6,487.62,452.24,3713881.1
2024-02-13 00:00:00+05:30,505.78,505.78,483.16,485.45,4131893,0.0,0.0,-2.04,487.79,453.81,3615443.9
2024-02-14 00:00:00+05:30,472.44,484.1,472.44,478.12,2319951,0.0,0.0,-1.51,488.1,454.91,3631139.1
2024-02-15 00:00:00+05:30,482.91,491.68,481.41,482.56,2197718,0.0,0.0,0.93,489.03,456.1,3612976.3
2024-02-16 00:00:00+05:30,486.8,487.89,477.58,478.87,1131246,0.0,0.0,-0.76,489.44,457.4,3480953.15
2024-02-19 00:00:00+05:30,482.51,500.25,478.92,497.61,4573746,0.0,0.0,3.91,490.47,458.6,3493157.2
2024-02-20 00:00:00+05:30,496.12,496.36,484.9,488.99,2420333,0.0,0.0,-1.73,489.93,459.24,3193049.95
2024-02-21 00:00:00+05:30,488.99,492.38,479.02,483.06,1545884,0.0,0.0,-1.21,489.92,459.9,3067218.55
2024-02-22 00:00:00+05:30,484.3,494.97,481.21,486.4,2107198,0.0,0.0,0.69,489.88,460.54,2862961.15
2024-02-23 00:00:00+05:30,488.14,509.07,484.5,505.19,5304876,0.0,0.0,3.86,490.83,461.77,3034534.5
2024-02-26 00:00:00+05:30,509.82,536.18,508.57,521.98,14220530,0.0,0.0,3.32,492.2,463.13,3630736.9
2024-02-27 00:00:00+05:30,523.72,530.75,499.21,520.14,5937986,0.0,0.0,-0.35,493.79,464.55,3841386.05
2024-02-28 00:00:00+05:30,520.78,521.78,501.35,505.93,3249733,0.0,0.0,-2.73,493.93,466.0,3859590.65
2024-02-29 00:00:00+05:30,505.33,510.12,488.59,506.63,6047978,0.0,0.0,0.14,494.76,467.44,4065737.85
2024-03-01 00:00:00+05:30,506.63,513.11,499.6,502.0,4229025,0.0,0.0,-0.91,495.79,468.88,4138592.6
2024-03-04 00:00:00+05:30,505.14,518.99,504.34,515.2,7041914,0.0,0.0,2.63,496.99,471.11,4344610.35
2024-03-05 00:00:00+05:30,515.3,518.09,505.43,507.83,1265026,0.0,0.0,-1.43,497.88,472.95,4305269.85
2024-03-06 00:00:00+05:30,511.02,514.7,492.63,510.37,3355263,0.0,0.0,0.5,498.78,475.0,4304546.6
2024-03-07 00:00:00+05:30,512.31,525.27,509.07,513.56,1551197,0.0,0.0,0.62,499.2,476.99,4096929.95
2024-03-11 00:00:00+05:30,514.31,515.1,499.9,507.33,1647238,0.0,0.0,-1.21,499.64,478.95,4019864.25
2024-03-12 00:00:00+05:30,507.33,512.26,489.54,507.63,3644807,0.0,0.0,0.06,500.24,480.97,3896177.1
2024-03-13 00:00:00+05:30,506.13,506.13,458.49,459.54,5554982,0.0,0.0,-9.47,498.95,482.0,3967331.55
2024-03-14 00:00:00+05:30,458.49,480.27,450.71,475.28,3198205,0.0,0.0,3.43,498.8,483.34,4011244.25
2024-03-15 00:00:00+05:30,479.42,497.86,471.0,496.26,5941930,0.0,0.0,4.41,499.49,485.11,4198454.85
2024-03-18 00:00:00+05:30,498.36,500.5,479.42,493.77,2663154,0.0,0.0,-0.5,500.23,486.79,4275050.25
2024-03-19 00:00:00+05:30,486.35,494.27,473.44,481.21,1848152,0.0,0.0,-2.54,499.41,487.91,4138770.55
2024-03-20 00:00:00+05:30,480.42,493.27,477.08,487.54,1667394,0.0,0.0,1.32,499.34,489.29,4101123.6
2024-03-21 00:00:00+05:30,492.88,505.33,491.18,502.89,2459438,0.0,0.0,3.15,500.33,490.99,4146801.3
2024-03-22 00:00:00+05:30,503.14,515.8,498.41,513.76,2676903,0.0,0.0,2.16,501.7,492.2,4175286.55
2024-03-26 00:00:00+05:30,519.24,526.96,507.78,511.51,2405945,0.0,0.0,-0.44,502.02,493.16,4030340.0
2024-03-27 00:00:00+05:30,511.61,525.27,511.61,514.95,3169799,0.0,0.0,0.67,501.67,493.88,3477803.45
2024-03-28 00:00:00+05:30,523.23,531.75,519.89,527.16,4207650,0.0,0.0,2.37,502.02,494.78,3391286.65
2024-04-01 00:00:00+05:30,531.25,536.08,513.51,516.75,2547243,0.0,0.0,-1.98,502.56,495.68,3356162.15
2024-04-02 00:00:00+05:30,517.84,541.22,517.84,540.42,4041053,0.0,0.0,4.58,504.25,497.21,3255815.9
2024-04-03 00:00:00+05:30,545.2,581.98,540.87,579.44,17570174,0.0,0.0,7.22,508.12,499.38,3922873.35
2024-04-04 00:00:00+05:30,580.09,602.02,575.2,581.14,8023364,0.0,0.0,0.29,511.42,501.46,3971945.85
2024-04-05 00:00:00+05:30,581.88,598.03,580.59,597.13,3623564,0.0,0.0,2.75,515.88,503.41,4089872.75
2024-04-08 00:00:00+05:30,600.02,630.02,599.97,625.44,6476004,0.0,0.0,4.74,521.64,506.25,4245909.8
